palavra;sujeito;instancia;instanciaLabel
museu;http://www.wikidata.org/entity/Q767473;http://www.wikidata.org/entity/Q207694;museu de arte
museu;http://www.wikidata.org/entity/Q1072981;http://www.wikidata.org/entity/Q33506;museu
museu;http://www.wikidata.org/entity/Q1072981;http://www.wikidata.org/entity/Q1759852;sculpture garden
museu;http://www.wikidata.org/entity/Q1249027;http://www.wikidata.org/entity/Q33506;museu
museu;http://www.wikidata.org/entity/Q1249027;http://www.wikidata.org/entity/Q100731037;Native American organization
museu;http://www.wikidata.org/entity/Q1990172;http://www.wikidata.org/entity/Q33506;museu
museu;http://www.wikidata.org/entity/Q1990172;http://www.wikidata.org/entity/Q1865249;literary museum
museu;http://www.wikidata.org/entity/Q3107846;http://www.wikidata.org/entity/Q2327632;city museum
museu;http://www.wikidata.org/entity/Q3854482;http://www.wikidata.org/entity/Q33506;museu
museu;http://www.wikidata.org/entity/Q3854482;http://www.wikidata.org/entity/Q962734;migration museum
museu;http://www.wikidata.org/entity/Q10328528;http://www.wikidata.org/entity/Q33506;museu
museu;http://www.wikidata.org/entity/Q10328528;http://www.wikidata.org/entity/Q1081138;patrimônio histórico
museu;http://www.wikidata.org/entity/Q10328528;http://www.wikidata.org/entity/Q4663385;former railway station
museu;http://www.wikidata.org/entity/Q10333682;http://www.wikidata.org/entity/Q33506;museu
